Z 	 eigenvectors  (x = 0.0, y = 0.0)
124.0	[3,6]((-2.57055e-05,3.75394e-07,-2.61675e-05,1.13499e-05,0.00490374,3.34328e-07),(-9.23682e-07,-4.9186e-05,2.81637e-08,-0.00504205,1.10427e-05,-0.000228089),(2.83003e-05,-1.01028e-07,-0.000336123,2.95609e-07,-0.000118738,9.38096e-07))
128.0	[3,6]((-2.67223e-05,3.69282e-07,-2.67149e-05,1.18292e-05,0.0051339,3.4244e-07),(-9.20349e-07,-4.84805e-05,2.84231e-08,-0.00524658,1.15603e-05,-0.000231396),(2.83722e-05,-1.0532e-07,-0.000342865,3.06672e-07,-0.000230943,9.13514e-07))
132.0	[3,6]((-2.60452e-05,3.83262e-07,-2.72283e-05,1.23033e-05,0.00536488,3.4931e-07),(-9.35296e-07,-4.77012e-05,2.77706e-08,-0.00544837,1.20719e-05,-0.000232196),(2.79922e-05,-1.18175e-07,-0.00034913,3.17591e-07,-0.000348927,8.81498e-07))
136.0	[3,6]((-3.36384e-05,2.4147e-07,-2.7692e-05,1.27651e-05,0.00559454,3.2655e-07),(-8.45759e-07,-4.75325e-05,3.13675e-08,-0.00564376,1.25928e-05,-0.000242257),(2.99229e-05,-7.78823e-08,-0.000354854,3.2825e-07,-0.000471539,8.67979e-07))
140.0	[3,6]((-2.72873e-05,3.72896e-07,-2.8121e-05,1.32231e-05,0.00582411,3.58826e-07),(-9.33665e-07,-4.66855e-05,2.79961e-08,-0.00583678,1.31122e-05,-0.000236469),(2.77064e-05,-1.30012e-07,-0.000360172,3.38852e-07,-0.000600736,8.31703e-07))
144.0	[3,6]((-2.92254e-05,3.50467e-07,-2.85145e-05,1.36853e-05,0.00605501,3.62044e-07),(-9.15998e-07,-4.64719e-05,2.89004e-08,-0.00603151,1.36241e-05,-0.000239988),(2.80415e-05,-1.25442e-07,-0.000365095,3.49639e-07,-0.000735044,8.1061e-07))
148.0	[3,6]((-2.94213e-05,3.47077e-07,-2.88591e-05,1.41446e-05,0.00628522,3.63447e-07),(-9.18793e-07,-4.6219e-05,2.87812e-08,-0.00622442,1.41423e-05,-0.000241017),(2.78293e-05,-1.30748e-07,-0.000369572,3.60234e-07,-0.000873856,7.86025e-07))
152.0	[3,6]((-2.99171e-05,3.42642e-07,-2.91711e-05,1.46007e-05,0.00651519,3.66918e-07),(-9.16156e-07,-4.58201e-05,2.89454e-08,-0.00641536,1.46583e-05,-0.000242414),(2.77199e-05,-1.33916e-07,-0.000373602,3.70479e-07,-0.00101701,7.61149e-07))
156.0	[3,6]((-3.03408e-05,3.42009e-07,-2.94443e-05,1.50536e-05,0.00674465,3.69143e-07),(-9.13879e-07,-4.5356e-05,2.91047e-08,-0.0066041,1.51732e-05,-0.000243554),(2.76069e-05,-1.373e-07,-0.000377205,3.80375e-07,-0.00116409,7.38559e-07))
160.0	[3,6]((-3.07318e-05,3.38586e-07,-2.96765e-05,1.55021e-05,0.00697349,3.71305e-07),(-9.10881e-07,-4.48457e-05,2.93299e-08,-0.00679053,1.56867e-05,-0.000244568),(2.75027e-05,-1.39637e-07,-0.000380403,3.90034e-07,-0.00131468,7.16133e-07))
164.0	[3,6]((-3.10913e-05,3.29859e-07,-2.98656e-05,1.59465e-05,0.00720161,3.73198e-07),(-9.07375e-07,-4.43026e-05,2.96163e-08,-0.00697461,1.61985e-05,-0.000245463),(2.74176e-05,-1.40279e-07,-0.000383223,3.99428e-07,-0.0014683,6.92508e-07))
168.0	[3,6]((-3.13422e-05,3.21208e-07,-3.00108e-05,1.6386e-05,0.00742897,3.73963e-07),(-9.04861e-07,-4.37143e-05,2.99082e-08,-0.0071563,1.67082e-05,-0.000246101),(2.73072e-05,-1.40442e-07,-0.000385699,4.08751e-07,-0.0016245,6.70771e-07))
172.0	[3,6]((-3.18885e-05,3.16911e-07,-3.01101e-05,1.68204e-05,0.00765542,3.76933e-07),(-8.96893e-07,-4.30763e-05,3.04791e-08,-0.00733555,1.72176e-05,-0.000247144),(2.74289e-05,-1.3975e-07,-0.000387877,4.17956e-07,-0.00178265,6.53477e-07))
176.0	[3,6]((-3.07115e-05,3.32659e-07,-3.01889e-05,1.72504e-05,0.0078816,3.80467e-07),(-9.10851e-07,-4.23315e-05,3.02368e-08,-0.00751245,1.77186e-05,-0.000245754),(2.64704e-05,-1.52061e-07,-0.00038979,4.26675e-07,-0.00194273,6.27302e-07))
180.0	[3,6]((-3.77606e-05,2.22777e-07,-3.02472e-05,1.76692e-05,0.00810538,3.40021e-07),(-8.24412e-07,-4.32259e-05,3.48244e-08,-0.00768344,1.82283e-05,-0.000253762),(3.09231e-05,-8.14109e-08,-0.000391516,4.34079e-07,-0.0021028,7.03247e-07))
